cluster_keyword,n_obs,mean_log_price,sd_log_price,mean_distance,mean_Sk
chat,77,1.4753792454292876,0.5772234013647844,0.32911784076071404,0.75
crypto,32,1.1959511755928383,0.5082503984820518,0.4486521768073241,0.7356127867582534
finance,45,1.3345990626158528,0.7132806305233785,0.42482203907436794,0.5488277801003991
hotel,45,1.5058184955121816,0.5107605173645896,0.27658641117590443,0.6693845056526838
lawyers,59,1.6929750772668948,0.5396178497821744,0.1855568309961739,0.7103713203404822
travel,36,1.2216822806133798,0.5056990253838948,0.30787092116143966,0.2285006915841915
